Sector,Jan,Feb,Mar,Apr,May,Jan_Feb,Feb_Mar,Mar_April,Feb_April
Total farm,4300,4400,4200,3800,3700,-0.000232558139535,0.000454545454545,0.000952380952381,0.001363636363636
Mining and logging,1900,1900,1900,1900,2000,0,0,0,0
Utilities,12200,12200,12200,12300,12300,0,0,-8.19672131147541E-05,-8.19672131147541E-05
Construction,151400,152600,148900,130900,143100,-7.92602377807133E-05,0.00024246395806,0.001208865010074,0.001422018348624
Manufacturing,335800,336600,328900,291400,306700,-2.38237045860631E-05,0.000228758169935,0.001140164183642,0.00134284016637
Wholesale trade,218200,218700,217000,196200,204200,-2.29147571035747E-05,7.7732053040695E-05,0.000958525345622,0.001028806584362
Retail trade,420900,415800,413800,339600,341700,0.000121168923735,4.81000481000481E-05,0.001793136781054,0.001832611832612
Transportation and warehousing,207500,205800,203700,185500,183700,8.19277108433735E-05,0.000102040816327,0.000893470790378,0.000986394557823
Information,227500,241000,234300,183400,174400,-0.000593406593407,0.000278008298755,0.002172428510457,0.002390041493776
Financial,223000,225000,227000,217400,218200,-8.96860986547085E-05,-8.88888888888889E-05,0.000422907488987,0.000337777777778
Professional and business,641800,647700,644300,567100,574400,-9.1928949828607E-05,5.249343832021E-05,0.001198199596461,0.00124440327312
Education and health,857100,865100,858300,778900,780600,-9.3338000233345E-05,7.86036296381921E-05,0.0009250844693,0.000996416599237
Leisure and hospitality,537800,543700,517800,295400,308600,-0.000109706210487,0.000476365642818,0.004295094631132,0.004566856722457
Other,158100,160100,151100,118900,114300,-0.000126502213789,0.000562148657089,0.002131039046989,0.002573391630231
Government,598500,606200,610200,597200,585000,-0.00012865497076,-6.59848234905972E-05,0.00021304490331,0.000148465852854
