#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	1800	1700	1600	1600	1500	1500	1500
Mining and Logging	400	400	400	400	400	400	400
Utilities	3000	2800	3000	3200	3200	3100	3000
Construction	105400	100600	96800	102600	105300	102600	105300
Manufacturing	158700	157500	143200	142000	142400	143100	142000
Wholesale Trade	78300	78400	69600	69900	70200	70800	71500
Retail Trade	150300	148000	127200	127200	133800	136500	137800
Transportation and Warehousing	26700	26300	24300	25600	26200	26300	26800
Information	25800	25700	21800	21400	21800	21900	21900
Financial Activities	120800	119900	112100	112100	112800	114700	114100
Professional and Business Services	326300	313300	288400	290100	298000	302300	303100
Educational and Health Services	235100	233200	203700	209100	214300	215500	214700
Leisure and Hospitality	227500	215000	124700	123400	163500	159500	156000
Other Services	50800	44400	33000	35300	41300	39900	40600
Government	168700	170500	159400	152100	149000	140000	143100
